Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Elias Fausto,2022,4624.60,,,,,,
Elisiário,2022,918.00,,,,,,
Embu das Artes,2022,141252.20,388.70,196.00,58.40,100.00,26.80,7.50
Embu-Guaçu,2022,18317.00,,,,,,
Emilianópolis,2022,220.00,68.50,37.00,15.00,2.00,8.50,6.00
Engenheiro Coelho,2022,4441.80,,,,,,
Espírito Santo do Pinhal,2022,9186.10,72.00,12.00,25.00,31.10,3.90,0.00
Espírito Santo do Turvo,2022,900.00,53.00,22.00,15.00,10.00,1.00,5.00
Estrela D Oeste,2022,1656.00,,,,,,
Estrela do Norte,2022,393.00,26.00,9.40,7.70,5.90,3.00,0.00
Fartura,2022,3182.00,413.90,162.20,135.50,40.60,73.60,2.00
Fernandópolis,2022,20479.60,410.60,319.40,82.00,7.90,1.30,0.00
Fernando Prestes,2022,448.00,,,,,,
Fernão,2022,292.90,11.00,6.00,2.00,2.00,0.50,0.50
Ferraz de Vasconcelos,2022,62429.60,,,,,,
Flora Rica,2022,360.00,,,,,,
Floreal,2022,437.00,22.00,9.00,5.00,4.00,0.00,4.00
Flórida Paulista,2022,4477.50,29.00,13.00,4.00,5.00,1.00,6.00
Florínia,2022,680.00,130.00,,,,,
Franca,2022,149513.60,999.00,495.40,187.60,33.20,282.80,0.00
Francisco Morato,2022,47765.00,,,,,,
Franco da Rocha,2022,34250.00,,,,,,
Gabriel Monteiro,2022,775.00,100.00,,,,,
Gália,2022,1580.00,180.00,,,,,
Garça,2022,11520.00,82.10,35.60,18.20,6.60,21.70,0.00
Gastão Vidigal,2022,1145.00,84.00,60.20,4.40,1.10,12.30,6.00
Gavião Peixoto,2022,2500.00,50.00,20.00,10.00,7.00,10.00,3.00
General Salgado,2022,3050.00,,,,,,
Getulina,2022,1249.00,4.50,1.00,1.50,1.00,0.00,1.00
Glicério,2022,662.00,,,,,,
Guaiçara,2022,2280.00,,,,,,
Guaimbê,2022,985.80,10.00,,,,,
Guaíra,2022,10472.90,,,,,,
Guapiaçu,2022,5926.00,156.00,25.00,18.00,40.00,18.00,55.00
Guapiara,2022,1400.00,44.00,11.00,10.00,12.00,3.00,8.00
Guará,2022,3976.00,95.00,50.00,20.00,15.00,5.00,5.00
Guaraçaí,2022,360.00,1.50,0.30,0.40,0.20,0.10,0.50
Guaraci,2022,4055.00,,,,,,
Guarani D Oeste,2022,900.00,40.00,18.00,15.00,1.00,5.00,1.00
Guarantã,2022,1400.00,,,,,,
Guararapes,2022,8066.00,562.80,212.70,203.10,34.00,82.00,31.00
Guararema,2022,13204.70,592.00,259.00,103.70,78.00,126.90,24.40
